9	2.5	0.25	0.16666666666666666	['A#3', 'E#4', 'G#4', 'C#5']	['P5', 'm7', 'm10', 'm3', 'm6', 'P4']	[0, 3, 5, 8]	[5, 8, 10, 1]
9	267/100	0.0625	0.16666666666666666	['G#3', 'C#4', 'E#4', 'B4']	['P4', 'M6', 'm10', 'M3', 'm7', 'd5']	[0, 2, 5, 8]	[5, 8, 11, 1]
9	283/100	0.0625	0.16666666666666666	['G#3', 'C#4', 'E#4', 'B4']	['P4', 'M6', 'm10', 'M3', 'm7', 'd5']	[0, 2, 5, 8]	[5, 8, 11, 1]
10	1.0	1.0	0.16666666666666666	['F#2', 'A#4']	['M17']	[0, 4]	[6, 10]
10	117/100	0.0625	0.08333333333333333	['C#3', 'C#4', 'A#4']	['P8', 'M13', 'M6']	[0, 3]	[10, 1]
10	1.25	0.125	0.08333333333333333	['C#3', 'C#4', 'F#4', 'A#4']	['P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[6, 10, 1]
10	133/100	0.0625	0.16666666666666666	['C#3', 'C#4', 'F#4', 'A#4']	['P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[6, 10, 1]
10	1.5	0.25	0.16666666666666666	['C#3', 'C#4', 'F#4', 'A#4', 'D#5']	['P8', 'P11', 'M13', 'M16', 'P4', 'M6', 'M9', 'M3']	[0, 3, 5, 8]	[10, 1, 3, 6]
10	167/100	0.0625	0.08333333333333333	['C#3', 'C#4', 'F#4', 'A#4', 'D#5']	['P8', 'P11', 'M13', 'M16', 'P4', 'M6', 'M9', 'M3']	[0, 3, 5, 8]	[10, 1, 3, 6]
10	1.75	0.125	0.08333333333333333	['C#3', 'C#4', 'F#4', 'A#4', 'C#5']	['P8', 'P11', 'M13', 'P15', 'P4', 'M6', 'M3', 'P5', 'm3']	[0, 3, 7]	[6, 10, 1]
10	183/100	0.0625	0.16666666666666666	['C#3', 'C#4', 'F#4', 'A#4', 'C#5']	['P8', 'P11', 'M13', 'P15', 'P4', 'M6', 'M3', 'P5', 'm3']	[0, 3, 7]	[6, 10, 1]
10	2.0	0.5	0.16666666666666666	['C#3', 'C#4', 'F#4', 'A#4', 'B4']	['P8', 'P11', 'M13', 'm14', 'P4', 'M6', 'm7', 'M3', 'm2']	[0, 2, 3, 7]	[6, 10, 11, 1]
10	217/100	0.0625	0.08333333333333333	['C#3', 'C#4', 'F#4', 'A#4', 'B4']	['P8', 'P11', 'M13', 'm14', 'P4', 'M6', 'm7', 'M3', 'm2']	[0, 2, 3, 7]	[6, 10, 11, 1]
10	2.25	0.125	0.08333333333333333	['C#3', 'C#4', 'F#4', 'A#4']	['P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[6, 10, 1]
10	233/100	0.0625	0.16666666666666666	['C#3', 'C#4', 'F#4', 'A#4']	['P8', 'P11', 'M13', 'P4', 'M6', 'M3']	[0, 3, 7]	[6, 10, 1]
10	2.5	0.25	0.16666666666666666	['C#3', 'C#4', 'F#4', 'G#4', 'A#4']	['P8', 'P11', 'P12', 'M13', 'P4', 'P5', 'M6', 'M2', 'M3']	[0, 2, 4, 7]	[6, 8, 10, 1]
