8	1.5	0.25	0.16666666666666666	['C#3', 'G#3', 'C#4', 'E#4', 'G#4']	['P5', 'P8', 'M10', 'P12', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[1, 5, 8]
8	167/100	0.0625	0.16666666666666666	['C#3', 'G#3', 'C#4', 'D#4', 'G#4']	['P5', 'P8', 'M9', 'P12', 'P4', 'M2']	[0, 2, 7]	[1, 3, 8]
8	183/100	0.0625	0.16666666666666666	['C#3', 'G#3', 'C#4', 'G#4']	['P5', 'P8', 'P12', 'P4']	[0, 5]	[8, 1]
8	2.0	0.5	0.16666666666666666	['E3', 'B3', 'E4', 'G#4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[4, 8, 11]
8	217/100	0.0625	0.16666666666666666	['E3', 'B3', 'D#4', 'G#4']	['P5', 'M7', 'M10', 'M3', 'M6', 'P4']	[0, 1, 5, 8]	[3, 4, 8, 11]
8	233/100	0.0625	0.16666666666666666	['E3', 'B3', 'C#4', 'G#4']	['P5', 'M6', 'M10', 'M2']	[0, 3, 5, 8]	[8, 11, 1, 4]
8	2.5	0.25	0.16666666666666666	['E3', 'B3', 'E4', 'G#4']	['P5', 'P8', 'M10', 'P4', 'M6', 'M3']	[0, 3, 7]	[4, 8, 11]
8	267/100	0.0625	0.08333333333333333	['E3', 'B3', 'D#4', 'E4', 'G#4']	['P5', 'M7', 'P8', 'M10', 'M3', 'P4', 'M6', 'm2']	[0, 1, 5, 8]	[3, 4, 8, 11]
8	2.75	0.125	0.08333333333333333	['E3', 'B3', 'D#4', 'E4', 'G#4']	['P5', 'M7', 'P8', 'M10', 'M3', 'P4', 'M6', 'm2']	[0, 1, 5, 8]	[3, 4, 8, 11]
8	283/100	0.0625	0.16666666666666666	['E3', 'B3', 'C#4', 'E4', 'G#4']	['P5', 'M6', 'P8', 'M10', 'M2', 'P4', 'm3', 'M3']	[0, 3, 5, 8]	[8, 11, 1, 4]
8	3.0	0.5	0.16666666666666666	['B2', 'F#3', 'B3', 'D#4', 'F#4']	['P5', 'P8', 'M10', 'P12', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[11, 3, 6]
8	317/100	0.0625	0.08333333333333333	['B2', 'F#3', 'B3', 'C#4', 'F#4']	['P5', 'P8', 'M9', 'P12', 'P4', 'M2']	[0, 2, 7]	[11, 1, 6]
8	3.25	0.125	0.08333333333333333	['B2', 'F#3', 'B3', 'C#4', 'F#4']	['P5', 'P8', 'M9', 'P12', 'P4', 'M2']	[0, 2, 7]	[11, 1, 6]
8	333/100	0.0625	0.16666666666666666	['B2', 'F#3', 'B3', 'F#4']	['P5', 'P8', 'P12', 'P4']	[0, 5]	[6, 11]
