0	3.5	0.25	0.5	['E3']	[]	[0]	[4]
15	2.0	0.5	1.0	['A2', 'C#3', 'E3', 'A3']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[9, 1, 4]
15	3.0	0.5	0.5				
15	3.5	0.25	0.5	['A4']	[]	[0]	[9]
16	1.0	1.0	0.5	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
16	1.5	0.25	0.5	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
16	2.0	0.5	0.5	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
16	2.5	0.25	0.5	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
16	3.0	0.5	0.3333333333333333	['C5']	[]	[0]	[0]
16	333/100	0.0625	0.16666666666666666	['B4']	[]	[0]	[11]
16	3.5	0.25	0.16666666666666666	['A2', 'C3', 'E3', 'A3', 'B4']	['m3', 'P5', 'P8', 'M16', 'M3', 'M6', 'M14', 'P4', 'P12', 'M9']	[0, 2, 3, 7]	[9, 11, 0, 4]
16	367/100	0.0625	0.3333333333333333	['A2', 'C3', 'E3', 'A3', 'A4']	['m3', 'P5', 'P8', 'P15', 'M3', 'M6', 'M13', 'P4', 'P11']	[0, 3, 7]	[9, 0, 4]
17	1.0	1.0	0.5	['E2', 'E3', 'G#3', 'B3', 'B4']	['P8', 'M10', 'P12', 'P19', 'M3', 'P5', 'm3', 'm10']	[0, 3, 7]	[4, 8, 11]
17	1.5	0.25	0.5	['E2', 'E3', 'G#3', 'B3', 'B4']	['P8', 'M10', 'P12', 'P19', 'M3', 'P5', 'm3', 'm10']	[0, 3, 7]	[4, 8, 11]
17	2.0	0.5	0.5	['E2', 'E3', 'G#3', 'B3', 'B4']	['P8', 'M10', 'P12', 'P19', 'M3', 'P5', 'm3', 'm10']	[0, 3, 7]	[4, 8, 11]
17	2.5	0.25	0.5	['E2', 'E3', 'G#3', 'B3', 'B4']	['P8', 'M10', 'P12', 'P19', 'M3', 'P5', 'm3', 'm10']	[0, 3, 7]	[4, 8, 11]
17	3.0	0.5	0.3333333333333333	['E2', 'E3', 'G#3', 'B3']	['P8', 'M10', 'P12', 'M3', 'P5', 'm3']	[0, 3, 7]	[4, 8, 11]
17	333/100	0.0625	0.16666666666666666	['E2', 'E3', 'G#3', 'E4']	['P8', 'M10', 'P15', 'M3', 'm6']	[0, 4]	[4, 8]
17	3.5	0.25	0.16666666666666666	['B2', 'E3', 'G#3', 'E4', 'E5']	['P4', 'M6', 'P11', 'P18', 'M3', 'P8', 'P15', 'm6', 'm13']	[0, 3, 7]	[4, 8, 11]
17	367/100	0.0625	0.3333333333333333	['B2', 'E3', 'G#3', 'D4', 'E5']	['P4', 'M6', 'm10', 'P18', 'M3', 'm7', 'P15', 'd5', 'm13', 'M9']	[0, 2, 5, 8]	[8, 11, 2, 4]
18	1.0	1.0	0.75	['A2', 'E3', 'A3', 'C4', 'E5']	['P5', 'P8', 'm10', 'P19', 'P4', 'm6', 'P15', 'm3', 'P12', 'M10']	[0, 3, 7]	[9, 0, 4]
18	1.75	0.125	0.25	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
18	2.0	0.5	0.5	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
18	2.5	0.25	0.5	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
18	3.0	0.5	0.5	['D5']	[]	[0]	[2]
18	3.5	0.25	0.25	['A2', 'E3', 'A3', 'C4', 'D5']	['P5', 'P8', 'm10', 'P18', 'P4', 'm6', 'm14', 'm3', 'P11', 'M9']	[0, 2, 4, 7]	[9, 0, 2, 4]
18	3.75	0.125	0.25	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
19	1.0	1.0	0.5	['E3', 'G#3', 'B3', 'B4']	['M3', 'P5', 'P12', 'm3', 'm10', 'P8']	[0, 3, 7]	[4, 8, 11]
19	1.5	0.25	0.5	['E3', 'G#3', 'B3', 'B4']	['M3', 'P5', 'P12', 'm3', 'm10', 'P8']	[0, 3, 7]	[4, 8, 11]
19	2.0	0.5	0.5	['E3', 'G3', 'B3', 'B4']	['m3', 'P5', 'P12', 'M3', 'M10', 'P8']	[0, 3, 7]	[4, 7, 11]
19	2.5	0.25	0.5	['D3', 'F3', 'G3', 'B3', 'B4']	['m3', 'P4', 'M6', 'M13', 'M2', 'A4', 'A11', 'M3', 'M10', 'P8']	[0, 2, 5, 8]	[11, 2, 5, 7]
19	3.0	0.5	0.5	['C3', 'E3', 'G3', 'C4']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[0, 4, 7]
19	3.5	0.25	0.5	['C3', 'G3', 'C4', 'E4', 'E5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[0, 4, 7]
20	1.0	1.0	0.75	['C3', 'G3', 'C4', 'E4', 'E5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[0, 4, 7]
20	1.75	0.125	0.25	['G2', 'G3', 'B3', 'D4', 'D5']	['P8', 'M10', 'P12', 'P19', 'M3', 'P5', 'm3', 'm10']	[0, 3, 7]	[7, 11, 2]
20	2.0	0.5	1.5	['G2', 'G3', 'B3', 'D4', 'D5']	['P8', 'M10', 'P12', 'P19', 'M3', 'P5', 'm3', 'm10']	[0, 3, 7]	[7, 11, 2]
20	3.5	0.25	0.5	['C3', 'B-3', 'C4', 'E4', 'E5']	['m7', 'P8', 'M10', 'M17', 'M2', 'A4', 'A11', 'M3']	[0, 2, 6]	[10, 0, 4]
21	1.0	1.0	0.75	['F2', 'A3', 'C4', 'F4', 'F5']	['M10', 'P12', 'P15', 'P22', 'm3', 'm6', 'm13', 'P4', 'P11', 'P8']	[0, 3, 7]	[5, 9, 0]
21	1.75	0.125	0.25	['C3', 'G3', 'C4', 'E4', 'E5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[0, 4, 7]
21	2.0	0.5	1.5	['C3', 'G3', 'C4', 'E4', 'E5']	['P5', 'P8', 'M10', 'M17', 'P4', 'M6', 'M13', 'M3']	[0, 3, 7]	[0, 4, 7]
21	3.5	0.25	0.5	['C3', 'C4', 'E4', 'E5']	['P8', 'M10', 'M17', 'M3']	[0, 4]	[0, 4]
22	1.0	1.0	0.75	['G#2', 'E3', 'B3', 'E4', 'E5']	['m6', 'm10', 'm13', 'm20', 'P5', 'P8', 'P15', 'P4', 'P11']	[0, 3, 7]	[4, 8, 11]
22	1.75	0.125	0.25	['G#2', 'E3', 'B3', 'D4', 'D5']	['m6', 'm10', 'd12', 'd19', 'P5', 'm7', 'm14', 'm3', 'P8']	[0, 2, 5, 8]	[8, 11, 2, 4]
22	2.0	0.5	1.5	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
22	3.5	0.25	0.5	['A2', 'E3', 'A3', 'C4', 'C5']	['P5', 'P8', 'm10', 'm17', 'P4', 'm6', 'm13', 'm3']	[0, 3, 7]	[9, 0, 4]
23	1.0	1.0	0.75	['E2', 'D3', 'G#3', 'C4', 'C5']	['m7', 'M10', 'm13', 'm20', 'A4', 'm14', 'd4', 'd11', 'P8']	[0, 2, 4, 8]	[0, 2, 4, 8]
23	1.75	0.125	0.25	['E2', 'D3', 'G#3', 'B3', 'B4']	['m7', 'M10', 'P12', 'P19', 'A4', 'M6', 'M13', 'm3', 'm10', 'P8']	[0, 2, 5, 8]	[8, 11, 2, 4]
23	2.0	0.5	1.0	['F2', 'C3', 'A3', 'A4']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[5, 9, 0]
23	3.0	0.5	0.5	['F2', 'C3', 'A3']	['P5', 'M10', 'M6']	[0, 3, 7]	[5, 9, 0]
23	3.5	0.25	0.5	['F2', 'C3', 'A3', 'C4']	['P5', 'M10', 'P12', 'M6', 'P8', 'm3']	[0, 3, 7]	[5, 9, 0]
24	1.0	1.0	0.75	['E2', 'D3', 'G#3', 'C4']	['m7', 'M10', 'm13', 'A4', 'd4']	[0, 2, 4, 8]	[0, 2, 4, 8]
24	1.75	0.125	0.25	['E2', 'D3', 'G#3', 'B3']	['m7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[8, 11, 2, 4]
24	2.0	0.5	0.5	['F2', 'C3', 'A3']	['P5', 'M10', 'M6']	[0, 3, 7]	[5, 9, 0]
24	2.5	0.25	0.5	['F2', 'B2', 'G#3']	['A4', 'A9', 'M6']	[0, 3, 6]	[5, 8, 11]
