26	4/3	0.25	0.5	['A-2', 'G-3', 'C4', 'F4']	['m7', 'M10', 'M13', 'A4', 'M7', 'P4']	[0, 1, 3, 7]	[5, 6, 8, 0]
26	5/3	0.25	0.5	['A-2', 'G-3', 'C4', 'E-4']	['m7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[0, 3, 6, 8]
26	2.0	0.5	0.5	['A-4']	[]	[0]	[8]
26	7/3	0.25	0.5	['A-2', 'F3', 'C-4', 'D4', 'A-4']	['M6', 'm10', 'A11', 'P15', 'd5', 'A2']	[0, 3, 6, 9]	[2, 5, 8, 11]
26	8/3	0.25	0.5	['A-2', 'F3', 'C-4', 'D4', 'A-4']	['M6', 'm10', 'A11', 'P15', 'd5', 'A2']	[0, 3, 6, 9]	[2, 5, 8, 11]
26	1.0	1.0	0.5	['A-4']	[]	[0]	[8]
27	1.0	1.0	0.5				
27	4/3	0.25	0.5	['A-2', 'G-3', 'C4', 'D4']	['m7', 'M10', 'A11', 'A4', 'A5', 'M2']	[0, 2, 6, 8]	[0, 2, 6, 8]
27	5/3	0.25	0.5	['A-2', 'G-3', 'C4', 'E-4']	['m7', 'M10', 'P12', 'A4', 'M6', 'm3']	[0, 2, 5, 8]	[0, 3, 6, 8]
27	2.0	0.5	0.5	['G-4']	[]	[0]	[6]
27	7/3	0.25	0.5	['A-2', 'B-3', 'C4', 'G-4']	['M9', 'M10', 'm14', 'M2', 'm6', 'd5']	[0, 2, 4, 6]	[6, 8, 10, 0]
27	8/3	0.25	0.5	['A-2', 'A-3', 'C4', 'F4']	['P8', 'M10', 'M13', 'M3', 'M6', 'P4']	[0, 3, 7]	[5, 8, 0]
28	1.0	1.0	0.5	['D-2', 'D-4']	['P15']	[0]	[1]
28	4/3	0.25	0.5	['D-3', 'D-4']	['P8']	[0]	[1]
28	5/3	0.25	0.5	['A-3', 'D-4', 'F4']	['P4', 'M6', 'M3']	[0, 3, 7]	[1, 5, 8]
