32	2.0	0.5	1.0	['C2', 'G2', 'G3', 'C4', 'E4', 'G4', 'B5', 'E6', 'B6']	['P5', 'P12', 'P15', 'M17', 'P19', 'M28', 'M31', 'M35', 'P8', 'P11', 'M13', 'M24', 'M27', 'P4', 'M6', 'M20', 'M3', 'M14', 'M21', 'm3', 'M10']	[0, 1, 5, 8]	[11, 0, 4, 7]
32	2.5	0.25	1.0	['G3', 'C4', 'E4', 'C6', 'E6', 'C7']	['P4', 'M6', 'P18', 'M20', 'P25', 'M3', 'P15', 'M17', 'P22', 'm13', 'm20', 'P8', 'm6']	[0, 3, 7]	[0, 4, 7]
33	1.0	1.0	0.6666666666666666	['F-2', 'A-4']	['M17']	[0, 4]	[4, 8]
33	133/100	0.0625	0.6666666666666666	['F-2', 'G4']	['A16']	[0, 3]	[4, 7]
33	167/100	0.0625	0.6666666666666666	['F-2', 'A-4']	['M17']	[0, 4]	[4, 8]
33	2.0	0.5	1.0	['F-2', 'C-4', 'F-4', 'A-4', 'C-5', 'F-5', 'A-5']	['P12', 'P15', 'M17', 'P19', 'P22', 'M24', 'P4', 'M6', 'P8', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6']	[0, 3, 7]	[4, 8, 11]
33	2.5	0.25	1.0	['C-4', 'F-4', 'A-4', 'C-5', 'D-5', 'F-5', 'A-5']	['P4', 'M6', 'P8', 'M9', 'P11', 'M13', 'M3', 'P5', 'M10', 'm3', 'm6', 'M2']	[0, 3, 5, 8]	[8, 11, 1, 4]
34	1.0	1.0	0.6666666666666666	['F#2', 'A4']	['m17']	[0, 3]	[6, 9]
34	133/100	0.0625	0.6666666666666666	['F#2', 'G#4']	['M16']	[0, 2]	[6, 8]
34	167/100	0.0625	0.6666666666666666	['F#2', 'A4']	['m17']	[0, 3]	[6, 9]
