24	1.0	1.0	0.5	['A-3', 'E-4', 'C5']	['P5', 'M10', 'M6']	[0, 3, 7]	[8, 0, 3]
24	1.5	0.25	0.5	['C-4', 'F4', 'A-4', 'D5']	['A4', 'M6', 'A9', 'm3']	[0, 3, 6, 9]	[2, 5, 8, 11]
24	2.0	0.5	1.0	['E-3', 'C-4', 'D4', 'A-4', 'F5']	['m6', 'M7', 'P11', 'M16', 'A2', 'M6', 'A11', 'd5', 'm10']	[0, 1, 3, 6, 9]	[2, 3, 5, 8, 11]
24	3.0	0.5	0.5	['E-3', 'C-4', 'E-4', 'A-4', 'E-5']	['m6', 'P8', 'P11', 'P15', 'M3', 'M6', 'M10', 'P4', 'P5']	[0, 3, 7]	[8, 11, 3]
24	3.5	0.25	0.5	['E-3', 'C-4', 'F4', 'A-4', 'D5']	['m6', 'M9', 'P11', 'M14', 'A4', 'M6', 'A9', 'm3']	[0, 1, 3, 6, 9]	[2, 3, 5, 8, 11]
25	1.0	1.0	1.0	['E-3', 'C-4', 'F4', 'A-4', 'D5']	['m6', 'M9', 'P11', 'M14', 'A4', 'M6', 'A9', 'm3']	[0, 1, 3, 6, 9]	[2, 3, 5, 8, 11]
25	2.0	0.5	0.5	['E-3', 'B-3', 'E-4', 'G4', 'E-5']	['P5', 'P8', 'M10', 'P15', 'P4', 'M6', 'P11', 'M3', 'm6']	[0, 3, 7]	[3, 7, 10]
25	2.5	0.25	0.5	['A-3', 'A-4', 'C5']	['P8', 'M10', 'M3']	[0, 4]	[8, 0]
25	3.0	0.5	0.5	['B-3', 'G4', 'D-5']	['M6', 'm10', 'd5']	[0, 3, 6]	[7, 10, 1]
25	3.5	0.25	0.5	['C4', 'G-4', 'E-5']	['d5', 'm10', 'M6']	[0, 3, 6]	[0, 3, 6]
26	1.0	1.0	0.5	['D-3', 'F4', 'A-4']	['M10', 'P12', 'm3']	[0, 3, 7]	[1, 5, 8]
26	1.5	0.25	0.5	['E-3', 'E-4', 'G4', 'A-4']	['P8', 'M10', 'P11', 'M3', 'P4', 'm2']	[0, 1, 5]	[3, 7, 8]
26	2.0	0.5	0.5	['F3', 'D4', 'F4', 'A-4']	['M6', 'P8', 'm10', 'm3', 'd5']	[0, 3, 6]	[2, 5, 8]
26	2.5	0.25	0.5	['G2', 'E-3', 'D-4', 'B-4']	['m6', 'd12', 'm17', 'm7', 'P12', 'M6']	[0, 2, 5, 8]	[7, 10, 1, 3]
26	3.0	0.5	0.5	['A-2', 'E-3', 'C4', 'E-4']	['P5', 'M10', 'P12', 'M6', 'P8', 'm3']	[0, 3, 7]	[8, 0, 3]
