26	2.0	0.5	0.5	['E3', 'F#3', 'A#4', 'C#5']	['M2', 'A11', 'M13', 'M10', 'P12', 'm3']	[0, 2, 5, 8]	[10, 1, 4, 6]
26	2.5	0.25	0.5	['E3', 'F#3', 'G4', 'A#4', 'C#5']	['M2', 'm10', 'A11', 'M13', 'm9', 'M10', 'P12', 'A2', 'A4', 'm3']	[0, 1, 3, 6, 9]	[10, 1, 4, 6, 7]
27	1.0	1.0	0.5	['D3', 'F#3', 'B4']	['M3', 'M13', 'P11']	[0, 3, 7]	[11, 2, 6]
27	1.5	0.25	0.5	['D3', 'F#3', 'B3', 'B4']	['M3', 'M6', 'M13', 'P4', 'P11', 'P8']	[0, 3, 7]	[11, 2, 6]
27	2.0	0.5	0.5	['D3', 'F#3', 'F#4', 'B4']	['M3', 'M10', 'M13', 'P8', 'P11', 'P4']	[0, 3, 7]	[11, 2, 6]
27	2.5	0.25	0.5	['D3', 'F#3', 'B3', 'F#4', 'B4']	['M3', 'M6', 'M10', 'M13', 'P4', 'P8', 'P11', 'P5']	[0, 3, 7]	[11, 2, 6]
28	1.0	1.0	0.5	['E3', 'G4']	['m10']	[0, 3]	[4, 7]
28	1.5	0.25	0.5	['E3', 'B3', 'G4', 'B4']	['P5', 'm10', 'P12', 'm6', 'P8', 'M3']	[0, 3, 7]	[4, 7, 11]
28	2.0	0.5	0.5	['E3', 'E4', 'G4', 'B4']	['P8', 'm10', 'P12', 'm3', 'P5', 'M3']	[0, 3, 7]	[4, 7, 11]
28	2.5	0.25	0.5	['E3', 'B3', 'E4', 'G4', 'B4']	['P5', 'P8', 'm10', 'P12', 'P4', 'm6', 'm3', 'M3']	[0, 3, 7]	[4, 7, 11]
29	1.0	1.0	0.5	['D3', 'B4']	['M13']	[0, 3]	[11, 2]
29	1.5	0.25	0.5	['D3', 'B3', 'B4']	['M6', 'M13', 'P8']	[0, 3]	[11, 2]
29	2.0	0.5	0.5	['D3', 'F#4', 'B4']	['M10', 'M13', 'P4']	[0, 3, 7]	[11, 2, 6]
29	2.5	0.25	0.5	['D3', 'B3', 'F#4', 'B4']	['M6', 'M10', 'M13', 'P5', 'P8', 'P4']	[0, 3, 7]	[11, 2, 6]
30	1.0	1.0	0.5	['E3', 'G4']	['m10']	[0, 3]	[4, 7]
30	1.5	0.25	0.5	['E3', 'B3', 'G4', 'B4']	['P5', 'm10', 'P12', 'm6', 'P8', 'M3']	[0, 3, 7]	[4, 7, 11]
30	2.0	0.5	0.5	['E3', 'G4', 'B4']	['m10', 'P12', 'M3']	[0, 3, 7]	[4, 7, 11]
30	2.5	0.25	0.5	['E3', 'B3', 'G4', 'B4']	['P5', 'm10', 'P12', 'm6', 'P8', 'M3']	[0, 3, 7]	[4, 7, 11]
31	1.0	1.0	0.5	['E#2']	[]	[0]	[5]
31	1.5	0.25	0.5	['E#2', 'D4', 'D5']	['d14', 'd21', 'P8']	[0, 3]	[2, 5]
31	2.0	0.5	0.5	['E#2', 'G#4', 'D5']	['m17', 'd21', 'd5']	[0, 3, 6]	[2, 5, 8]
31	2.5	0.25	0.5	['E#2', 'D4', 'G#4', 'D5']	['d14', 'm17', 'd21', 'A4', 'P8', 'd5']	[0, 3, 6]	[2, 5, 8]
32	1.0	1.0	0.5	['G#2', 'E#4']	['M13']	[0, 3]	[5, 8]
32	1.5	0.25	0.5	['G#2', 'D4', 'E#4']	['d12', 'M13', 'A2']	[0, 3, 6]	[2, 5, 8]
32	2.0	0.5	0.5	['G#2', 'B3', 'E#4']	['m10', 'M13', 'A4']	[0, 3, 6]	[5, 8, 11]
32	2.5	0.25	0.5	['G#2', 'D3', 'E#4']	['d5', 'M13', 'A9']	[0, 3, 6]	[2, 5, 8]
33	1.0	1.0	0.5	['C#2', 'C#3', 'E#4']	['P8', 'M17', 'M10']	[0, 4]	[1, 5]
33	1.5	0.25	0.5	['C#2', 'C#3', 'E#3', 'B3', 'D4']	['P8', 'M10', 'm14', 'm16', 'M3', 'm7', 'm9', 'd5', 'd7', 'm3']	[0, 2, 3, 6]	[11, 1, 2, 5]
33	2.0	0.5	0.5	['C#2', 'C#3', 'E#3', 'A#3', 'C#4', 'D4']	['P8', 'M10', 'M13', 'P15', 'm16', 'M3', 'M6', 'm9', 'P4', 'm6', 'd7', 'm3', 'd4', 'm2']	[0, 3, 4, 7]	[10, 1, 2, 5]
33	2.5	0.25	0.5	['C#2', 'C#3', 'E#3', 'B3', 'D4']	['P8', 'M10', 'm14', 'm16', 'M3', 'm7', 'm9', 'd5', 'd7', 'm3']	[0, 2, 3, 6]	[11, 1, 2, 5]
34	1.0	1.0	1.0	['F#2', 'C#3', 'F#3', 'A#3', 'C#4']	['P5', 'P8', 'M10', 'P12', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[6, 10, 1]
34	2.0	0.5	1.0	['F#2', 'C#3', 'F#3', 'A#3', 'C#4']	['P5', 'P8', 'M10', 'P12', 'P4', 'M6', 'M3', 'm3']	[0, 3, 7]	[6, 10, 1]
35	1.0	1.0	0.5	['B1', 'F#3', 'B3', 'D4', 'F#4']	['P12', 'P15', 'm17', 'P19', 'P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
35	1.5	0.25	0.5	['B1', 'F#3', 'B3', 'D4', 'F#4']	['P12', 'P15', 'm17', 'P19', 'P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
35	2.0	0.5	0.5	['G3', 'D4', 'E#4', 'G4', 'B4']	['P5', 'A6', 'P8', 'M10', 'A2', 'P4', 'M6', 'd3', 'd5', 'M3']	[0, 2, 5, 8]	[11, 2, 5, 7]
35	2.5	0.25	0.5	['G3', 'D4', 'E#4', 'G4', 'B4']	['P5', 'A6', 'P8', 'M10', 'A2', 'P4', 'M6', 'd3', 'd5', 'M3']	[0, 2, 5, 8]	[11, 2, 5, 7]
36	1.0	1.0	1.0	['B1', 'F#3', 'B3', 'D4', 'F#4']	['P12', 'P15', 'm17', 'P19', 'P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
36	2.0	0.5	1.0	['G#3', 'D4', 'E#4', 'B4']	['d5', 'M6', 'm10', 'A2']	[0, 3, 6, 9]	[2, 5, 8, 11]
37	1.0	1.0	0.5	['B1', 'F#3', 'B3', 'D4', 'F#4']	['P12', 'P15', 'm17', 'P19', 'P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
37	1.5	0.25	0.5	['B1', 'F#3', 'B3', 'D4', 'F#4']	['P12', 'P15', 'm17', 'P19', 'P4', 'm6', 'P8', 'm3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
37	2.0	0.5	0.5	['G3', 'C#4', 'D4', 'E#4', 'B4']	['A4', 'P5', 'A6', 'M10', 'm2', 'M3', 'm7', 'A2', 'M6', 'd5']	[0, 2, 3, 6, 8]	[11, 1, 2, 5, 7]
37	2.5	0.25	0.5	['G3', 'B3', 'D4', 'E#4', 'B4']	['M3', 'P5', 'A6', 'M10', 'm3', 'A4', 'P8', 'A2', 'M6', 'd5']	[0, 2, 5, 8]	[11, 2, 5, 7]
38	1.0	1.0	1.0	['B3', 'D4', 'F#4']	['m3', 'P5', 'M3']	[0, 3, 7]	[11, 2, 6]
38	2.0	0.5	1.0	['B1', 'B2', 'B3', 'F#4']	['P8', 'P15', 'P19', 'P12', 'P5']	[0, 5]	[6, 11]
39	1.0	1.0	0.5	['A1', 'A2', 'F#4']	['P8', 'M20', 'M13']	[0, 3]	[6, 9]
