28	2.5	0.25	0.25	['C3', 'G3', 'G4', 'E5']	['P5', 'P12', 'M17', 'P8', 'M13', 'M6']	[0, 3, 7]	[0, 4, 7]
28	2.75	0.125	0.25	['C3', 'A3', 'A4', 'E5']	['M6', 'M13', 'M17', 'P8', 'P12', 'P5']	[0, 3, 7]	[9, 0, 4]
29	1.0	1.0	0.5	['B2', 'B3', 'B4', 'D#5']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[11, 3]
29	1.5	0.25	0.5	['B2', 'B3', 'B4', 'D#5']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[11, 3]
29	2.0	0.5	0.5	['B3', 'B4']	['P8']	[0]	[11]
29	2.5	0.25	0.25	['C4', 'C5']	['P8']	[0]	[0]
29	2.75	0.125	0.25	['B3', 'B4']	['P8']	[0]	[11]
30	1.0	1.0	0.5	['C3', 'G3', 'E4', 'E5']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[0, 4, 7]
30	1.5	0.25	0.5	['C3', 'G3', 'E4', 'E5']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[0, 4, 7]
30	2.0	0.5	0.5	['C3', 'G3', 'E4', 'E5']	['P5', 'M10', 'M17', 'M6', 'M13', 'P8']	[0, 3, 7]	[0, 4, 7]
30	2.5	0.25	0.25	['C3', 'G3', 'G4', 'E5']	['P5', 'P12', 'M17', 'P8', 'M13', 'M6']	[0, 3, 7]	[0, 4, 7]
30	2.75	0.125	0.25	['C3', 'A3', 'A4', 'E5']	['M6', 'M13', 'M17', 'P8', 'P12', 'P5']	[0, 3, 7]	[9, 0, 4]
31	1.0	1.0	0.5	['B2', 'B3', 'B4', 'D#5']	['P8', 'P15', 'M17', 'M10', 'M3']	[0, 4]	[11, 3]
31	1.5	0.25	0.5	['B3', 'B4']	['P8']	[0]	[11]
31	2.0	0.5	0.75	['C4', 'C5']	['P8']	[0]	[0]
31	2.75	0.125	0.25	['B3', 'B4']	['P8']	[0]	[11]
32	1.0	1.0	0.5	['A3', 'A4']	['P8']	[0]	[9]
32	1.5	0.25	0.5	['G3', 'G4']	['P8']	[0]	[7]
32	2.0	0.5	0.5	['F#3', 'F#4']	['P8']	[0]	[6]
32	2.5	0.25	0.5	['A#3', 'A#4']	['P8']	[0]	[10]
33	1.0	1.0	0.5	['B3', 'B4']	['P8']	[0]	[11]
33	1.5	0.25	0.5	['B3', 'B4']	['P8']	[0]	[11]
33	2.0	0.5	0.5	['B4']	[]	[0]	[11]
33	2.5	0.25	0.5	['B4']	[]	[0]	[11]
34	1.0	1.0	0.5	['B3', 'D#4', 'F#4', 'B4']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[11, 3, 6]
34	1.5	0.25	0.5	['B3', 'D#4', 'F#4', 'B4']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[11, 3, 6]
34	2.0	0.5	0.5	['B3', 'D#4', 'F#4', 'B4']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[11, 3, 6]
34	2.5	0.25	0.5	['B3', 'D#4', 'F#4', 'B4']	['M3', 'P5', 'P8', 'm3', 'm6', 'P4']	[0, 3, 7]	[11, 3, 6]
